Photo,Picture Count,MLS #,Class,Type,Area/Tract,,Status,List Date,Listing Price,,,,,Address,City,State,Zip,,Price,Price Per SQFT,,Closing Date,Total SQFT,# Bedrooms,Total Baths,Year Built,,Total Fin SQFT,Total Full Baths
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1234983/0/120/90/197c18d08a1ebee9caa1932d939a3e6f/4/b1d37467d50e5bf390ce147417bba84f/1234983.JPG,36,QC4211978,Residential,Single Family,QCARA Area,,Sold,6/1/2020,"$265,000 ",,,,,17612 RIVER Road North,Cordova,IL,61242,,"$252,000 ",$127.66 ,,9/3/2020,1974,2,2,1986,,"1,974",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1321932/0/120/90/8e1adadf249c809ab453c941c9217622/4/ba45e2913699200cb8ec1bbf3e366b71/1321932.JPG,34,QC4240421,Residential,Single Family,QCARA Area,,Sold,2/11/2023,"$265,000 ",,,,,402 S 2ND Avenue,Cordova,IL,61242,,"$258,000 ",$95.06 ,,9/22/2023,2714,4,2,1856,,"2,714",1
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1261602/0/120/90/0527ea2fe0ef90ea5353217de86b4d3d/4/d6bdb8411d8cda3e6fa9fd7c4d2b9b7b/1261602.JPG,21,QC4220216,Residential,Single Family,QCARA Area,,Sold,4/3/2021,"$245,000 ",,,,,102 2ND Street South,Cordova,IL,61242,,"$260,000 ",$187.59 ,,8/17/2021,1386,2,2,1965,,"1,386",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1249853/0/120/90/a6ae56d02137f6104de7c14f04505df2/4/11dc99c8595266ed7469b0f4c440c07c/1249853.JPG,44,QC4216575,Residential,Single Family,QCARA Area,,Sold,10/29/2020,"$269,900 ",,,,,18628 RIVER Road North,Cordova,IL,61242,,"$260,000 ",$133.74 ,,2/18/2021,1944,3,3,1976,,"1,944",3
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,21,QC4170229,Residential,Single Family,QCARA Area,,Sold,3/18/2016,"$275,000 ",,,,,18408 RIVER Road,Cordova,IL,61242,,"$260,000 ",$175.32 ,,5/20/2016,1483,3,1,1973,,"1,785",1
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/146444/0/120/90/59e45dd07efce16a5ae29b33dccbdca1/4/d3590e5ea4dbf2f1d1fd80519f18d1cb/146444.JPG,9,QC4123893,Residential,Single Family,QCARA Area,,Sold,3/10/2011,"$299,900 ",,,,,26612 171ST Avenue North,Cordova,IL,61242,,"$263,000 ",$160.37 ,,4/19/2012,1640,3,4,2000,,"2,944",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/168387/0/120/90/058803b1b97fecb30a80a62c1ca51c68/4/dfd30aa5dd1e8f36ce0ec2b085659246/168387.JPG,24,QC4153564,Residential,Single Family,QCARA Area,,Sold,7/22/2014,"$300,000 ",,,,,1310 2ND Street South,Cordova,IL,61242,,"$265,000 ",$133.77 ,,1/30/2015,1981,3,4,1969,,"2,681",2
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,24,QC4170681,Residential,Single Family,QCARA Area,,Sold,4/4/2016,"$299,000 ",,,,,21208 RIVER Road,Cordova,IL,61242,,"$270,000 ",$102.12 ,,9/8/2017,2644,4,4,1940,,"2,644",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1213872/0/120/90/8a46adcce7fdcce793f68d058c23ce4b/4/a20057836a8b8f185e3e9d1ccb5fbb5c/1213872.JPG,27,QC4205806,Residential,Single Family,QCARA Area,,Sold,9/10/2019,"$272,000 ",,,,,910 3RD Street South,Cordova,IL,61242,,"$272,100 ",$141.35 ,,10/11/2019,1925,3,3,2010,,"1,925",3
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,31,QC4242926,Residential,Single Family,QCARA Area,,Sold,5/19/2023,"$275,000 ",,,,,405 MAIN Avenue,Cordova,IL,61242,,"$275,500 ",$186.15 ,,6/16/2023,1480,3,2,1969,,"1,480",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1343956/0/120/90/c099c42b4c391831ce3151320f95d52e/4/b6f38c8b95ec2bdc58d5a0fdc21c00ce/1343956.JPG,17,QC4247715,Residential,Single Family,QCARA Area,,Sold,8/24/2023,"$279,000 ",,,,,4 SUNSET Drive,Cordova,IL,61242,,"$279,000 ",$188.13 ,,10/3/2023,1483,4,3,2003,,"2,804",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/174310/0/120/90/a3d89f0047ad4fcf06961f90a14f7c80/4/fc6571344a320971b6ef5c80ee5f4557/174310.JPG,13,QC4161791,Residential,Single Family,QCARA Area,,Sold,5/27/2015,"$299,000 ",,,,,13429 ROUTE 84 NORTH,Cordova,IL,61242,,"$285,000 ",$105.36 ,,3/18/2016,2705,4,4,1945,,"2,705",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1216237/0/120/90/7ac66667495830eba9fd7d686955a264/4/8e092964810e6c9d682c1e3e81e24fa2/1216237.JPG,36,QC4206648,Residential,Single Family,QCARA Area,,Sold,10/5/2019,"$269,900 ",,,,,1310 2ND Street South,Cordova,IL,61242,,"$291,000 ",$146.90 ,,5/4/2020,1981,3,4,1969,,"3,215",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1332309/0/120/90/29452006407be3d1fd4a8741094a2bc2/4/221e3724a58b90355de1e5c3e6caac16/1332309.JPG,41,QC4243783,Residential,Single Family,QCARA Area,,Sold,6/19/2023,"$300,000 ",,,,,22800 N 178TH Avenue,Cordova,IL,61242,,"$296,500 ",$204.34 ,,8/2/2023,1451,3,2,1995,,"2,169",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1207580/0/120/90/116ecba6a9dec63d46b85edb48a6e16d/4/b2c760a81f4c10919066be5c191d9186/1207580.JPG,50,QC723,Residential,Single Family,QCARA Area,,Sold,7/3/2019,"$320,000 ",,,,,21516 RIVER Road North,Cordova,IL,61242,,"$320,000 ",$154.74 ,,6/30/2020,2068,3,2,1980,,"2,068",2
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,24,QC4188875,Residential,Single Family,QCARA Area,,Sold,1/4/2018,"$395,000 ",,,,,21304 RIVER Road,Cordova,IL,61242,,"$337,500 ",$93.34 ,,8/7/2018,3616,3,5,1990,,"4,166",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1265061/0/120/90/1bd25400779d3d025b8567282192af1a/4/69857237708a54cfeea9cc4bb4ce6f13/1265061.JPG,46,QC4221313,Residential,Single Family,QCARA Area,,Sold,5/5/2021,"$485,000 ",,,,,21304 RIVER Road North,Cordova,IL,61242,,"$345,000 ",$95.41 ,,7/23/2021,3616,3,5,1990,,"4,166",3
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,25,QC4191669,Residential,Single Family,QCARA Area,,Sold,4/18/2018,"$379,900 ",,,,,11 SUNSET Drive,Cordova,IL,61242,,"$367,500 ",$152.74 ,,8/31/2018,2406,4,4,1997,,"4,348",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1264755/0/120/90/1d2f52efa63f8171c4045293cc0b0c1b/4/f0e87b215aba95a4b1f00654be2eaff9/1264755.JPG,29,QC4221214,Residential,Single Family,QCARA Area,,Sold,5/3/2021,"$362,500 ",,,,,18520 RIVER Road North,Cordova,IL,61242,,"$372,500 ",$232.81 ,,6/21/2021,1600,3,2,1960,,"2,035",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/158646/0/120/90/c0f9676d0f05566128e5e90b2404d024/4/f823d05e8b6c2d7b8f206059b8b859de/158646.JPG,24,QC4140670,Residential,Single Family,QCARA Area,,Sold,2/10/2013,"$380,000 ",,,,,13919 228TH Street,Cordova,IL,61242,,"$380,000 ",$149.90 ,,5/6/2013,2535,4,3,2003,,"3,564",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1234847/0/120/90/f1916641b7f0ed2bf0cfd7a8331bbf58/4/3a0248882f9a97ff7f06e4ff61aa069f/1234847.JPG,40,QC4211943,Residential,Single Family,QCARA Area,,Sold,6/1/2020,"$439,900 ",,,,,21904 RIVER Road North,Cordova,IL,61242,,"$432,500 ",$149.19 ,,11/13/2020,2899,4,3,1995,,"2,899",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1227558/0/120/90/43c7d1c1ec10b2b3342eb0b59f06e5fc/4/6e47804e8759c5bb15bfdcfc501419f0/1227558.JPG,40,QC4209804,Residential,Single Family,QCARA Area,,Sold,3/6/2020,"$474,900 ",,,,,21510 RIVER Road,Cordova,IL,61242,,"$465,000 ",$143.08 ,,9/14/2020,3250,4,4,1993,,"3,250",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1290407/0/120/90/bd65cead3c7a41abb311ea819c16f20f/4/b795ff4cccabda01e7f9b56f542524a6/1290407.JPG,31,QC4230251,Residential,Single Family,QCARA Area,,Sold,2/11/2022,"$489,900 ",,,,,27421 135TH Avenue North,Cordova,IL,61242,,"$475,000 ",$68.96 ,,5/31/2022,6888,5,4,1998,,"6,888",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/177920/0/120/90/619feb221d867470606000bb3bee21d7/4/84961bdaae90380278663ebe07b970b9/177920.JPG,2,QC4166695,Residential,Single Family,QCARA Area,,Sold,10/23/2015,"$500,000 ",,,,,905 3RD Avenue North,Cordova,IL,61242,,"$500,000 ",$153.94 ,,10/23/2015,3248,4,4,2002,,"4,109",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/188250/0/120/90/b259cbf2df442c893ee6050692d4793a/4/f87276c26283aad5516b979101b0488c/188250.JPG,24,QC4180618,Residential,Single Family,QCARA Area,,Sold,3/16/2017,"$534,900 ",,,,,16724 RIVER Road,Cordova,IL,61242,,"$500,000 ",$133.12 ,,4/28/2017,3756,4,4,2000,,"3,756",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/175937/0/120/90/584a85fc3e617f1462cb9644296642a3/4/1e4bade2048a5551a747203555cd4dd4/175937.JPG,24,QC4163994,Residential,Single Family,QCARA Area,,Sold,7/29/2015,"$545,000 ",,,,,21604 RIVER Road North,Cordova,IL,61242,,"$500,000 ",$120.92 ,,2/19/2016,4135,3,3,1968,,"4,135",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/152198/0/120/90/1e0dc27ca2085bb9afc149dea58392fb/4/40aa7d55f0895739132f91b08c971337/152198.JPG,5,QC4131954,Residential,Single Family,QCARA Area,,Sold,2/1/2012,"$579,900 ",,,,,16424 RIVER Road North,Cordova,IL,61242,,"$520,000 ",$235.08 ,,5/16/2012,2212,3,4,1992,,"2,212",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1232077/0/120/90/9deeffbd652c6723b10a458b0c92d320/4/c36409aa024ab283a39a99050d13ddc4/1232077.JPG,32,QC4211161,Residential,Single Family,QCARA Area,,Sold,5/1/2020,"$549,000 ",,,,,16322 RIVER Road North,Cordova,IL,61242,,"$523,000 ",$147.37 ,,11/6/2020,3549,5,5,2001,,"4,689",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1328530/0/120/90/ed62aa2a19e6a109809600a6b075f17c/4/7ace263b0f0f9b598bccee37f20a058d/1328530.JPG,30,QC4242540,Residential,Single Family,QCARA Area,,Sold,5/4/2023,"$570,000 ",,,,,16616 RIVER Road North,Cordova,IL,61242,,"$560,000 ",$647.40 ,,6/29/2023,865,2,1,2013,,865,1
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,22,QC4192645,Residential,Single Family,QCARA Area,,Sold,5/18/2018,"$610,000 ",,,,,16808 RIVER Road North,Cordova,IL,61242,,"$575,000 ",$194.13 ,,10/18/2018,2962,5,4,2004,,"3,186",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/380701/0/120/90/cfb00611fabe24a276702c3bd57915c4/4/6f512f3abc7a1b33a70a8fe5bb67275c/380701.JPG,24,QC4203111,Residential,Single Family,QCARA Area,,Sold,5/22/2019,"$624,000 ",,,,,21504 RIVER Road North,Cordova,IL,61242,,"$585,000 ",$128.85 ,,6/27/2019,4540,3,4,1992,,"4,540",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/173161/0/120/90/e0a1504060f3acdec689f22d34ac3f0b/4/e9860a402037f28462594db4634d3e55/173161.JPG,24,QC4160248,Residential,Single Family,QCARA Area,,Sold,4/16/2015,"$650,000 ",,,,,16436 RIVER Road North,Cordova,IL,61242,,"$635,000 ",$293.17 ,,6/26/2015,2166,3,3,2012,,"3,166",2
