Picture Count,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Full_Baths,Half_Baths,List Date,Closing Date,Days on Market,List Month,List Year,Closing Month,Closing Year,Home Age
36,Cordova,61242,265000,252000,13000,0.04906,127.66,1974,2,2,1986,1974,2,0,6/1/20,9/3/20,94,6,2020,9,2020,34
34,Cordova,61242,265000,258000,7000,0.02642,95.06,2714,4,2,1856,2714,1,1,2/11/23,9/22/23,223,2,2023,9,2023,167
21,Cordova,61242,245000,260000,-15000,-0.06122,187.59,1386,2,2,1965,1386,2,0,4/3/21,8/17/21,136,4,2021,8,2021,56
44,Cordova,61242,269900,260000,9900,0.03668,133.74,1944,3,3,1976,1944,3,0,10/29/20,2/18/21,112,10,2020,2,2021,45
21,Cordova,61242,275000,260000,15000,0.05455,175.32,1483,3,1,1973,1785,1,0,3/18/16,5/20/16,63,3,2016,5,2016,43
9,Cordova,61242,299900,263000,36900,0.12304,160.37,1640,3,4,2000,2944,3,1,3/10/11,4/19/12,406,3,2011,4,2012,12
24,Cordova,61242,300000,265000,35000,0.11667,133.77,1981,3,4,1969,2681,2,2,7/22/14,1/30/15,192,7,2014,1,2015,46
24,Cordova,61242,299000,270000,29000,0.09699,102.12,2644,4,4,1940,2644,2,2,4/4/16,9/8/17,522,4,2016,9,2017,77
27,Cordova,61242,272000,272100,-100,-0.00037,141.35,1925,3,3,2010,1925,3,0,9/10/19,10/11/19,31,9,2019,10,2019,9
31,Cordova,61242,275000,275500,-500,-0.00182,186.15,1480,3,2,1969,1480,2,0,5/19/23,6/16/23,28,5,2023,6,2023,54
17,Cordova,61242,279000,279000,0,0.00000,188.13,1483,4,3,2003,2804,2,1,8/24/23,10/3/23,40,8,2023,10,2023,20
13,Cordova,61242,299000,285000,14000,0.04682,105.36,2705,4,4,1945,2705,2,2,5/27/15,3/18/16,296,5,2015,3,2016,71
36,Cordova,61242,269900,291000,-21100,-0.07818,146.90,1981,3,4,1969,3215,2,2,10/5/19,5/4/20,212,10,2019,5,2020,51
41,Cordova,61242,300000,296500,3500,0.01167,204.34,1451,3,2,1995,2169,2,0,6/19/23,8/2/23,44,6,2023,8,2023,28
50,Cordova,61242,320000,320000,0,0.00000,154.74,2068,3,2,1980,2068,2,0,7/3/19,6/30/20,363,7,2019,6,2020,40
24,Cordova,61242,395000,337500,57500,0.14557,93.34,3616,3,5,1990,4166,3,2,1/4/18,8/7/18,215,1,2018,8,2018,28
46,Cordova,61242,485000,345000,140000,0.28866,95.41,3616,3,5,1990,4166,3,2,5/5/21,7/23/21,79,5,2021,7,2021,31
25,Cordova,61242,379900,367500,12400,0.03264,152.74,2406,4,4,1997,4348,4,0,4/18/18,8/31/18,135,4,2018,8,2018,21
29,Cordova,61242,362500,372500,-10000,-0.02759,232.81,1600,3,2,1960,2035,2,0,5/3/21,6/21/21,49,5,2021,6,2021,61
24,Cordova,61242,380000,380000,0,0.00000,149.90,2535,4,3,2003,3564,3,0,2/10/13,5/6/13,85,2,2013,5,2013,10
40,Cordova,61242,439900,432500,7400,0.01682,149.19,2899,4,3,1995,2899,3,0,6/1/20,11/13/20,165,6,2020,11,2020,25
40,Cordova,61242,474900,465000,9900,0.02085,143.08,3250,4,4,1993,3250,3,1,3/6/20,9/14/20,192,3,2020,9,2020,27
31,Cordova,61242,489900,475000,14900,0.03041,68.96,6888,5,4,1998,6888,4,0,2/11/22,5/31/22,109,2,2022,5,2022,24
2,Cordova,61242,500000,500000,0,0.00000,153.94,3248,4,4,2002,4109,4,0,10/23/15,10/23/15,0,10,2015,10,2015,13
24,Cordova,61242,534900,500000,34900,0.06525,133.12,3756,4,4,2000,3756,3,1,3/16/17,4/28/17,43,3,2017,4,2017,17
24,Cordova,61242,545000,500000,45000,0.08257,120.92,4135,3,3,1968,4135,3,0,7/29/15,2/19/16,205,7,2015,2,2016,48
5,Cordova,61242,579900,520000,59900,0.10329,235.08,2212,3,4,1992,2212,3,1,2/1/12,5/16/12,105,2,2012,5,2012,20
32,Cordova,61242,549000,523000,26000,0.04736,147.37,3549,5,5,2001,4689,4,1,5/1/20,11/6/20,189,5,2020,11,2020,19
30,Cordova,61242,570000,560000,10000,0.01754,647.40,865,2,1,2013,865,1,0,5/4/23,6/29/23,56,5,2023,6,2023,10
22,Cordova,61242,610000,575000,35000,0.05738,194.13,2962,5,4,2004,3186,3,1,5/18/18,10/18/18,153,5,2018,10,2018,14
24,Cordova,61242,624000,585000,39000,0.06250,128.85,4540,3,4,1992,4540,4,0,5/22/19,6/27/19,36,5,2019,6,2019,27
24,Cordova,61242,650000,635000,15000,0.02308,293.17,2166,3,3,2012,3166,2,1,4/16/15,6/26/15,71,4,2015,6,2015,3