Picture Count,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,List Month,List Year,Closing Month,Closing Year
5,Cordova,61242,579900,520000,59900,0.10329,235,2212,3,4,1992,2212,3,1,2/1/12,5/16/12,105,1,0,2,2012,5,2012
21,Port Byron,61275,435000,420000,15000,0.03448,108,3882,4,3,2008,3882,2,1,8/17/12,11/15/12,90,0,1,8,2012,11,2012
24,Port Byron,61275,399900,374000,25900,0.06477,175,2140,3,3,1955,2140,2,1,6/30/12,12/13/12,166,0,1,6,2012,12,2012
24,Cordova,61242,380000,380000,0,0.00000,150,2535,4,3,2003,3564,3,0,2/10/13,5/6/13,85,1,,2,2013,5,2013
24,Port Byron,61275,379000,362000,17000,0.04485,160,2265,4,3,2008,4065,3,0,4/12/13,6/7/13,56,0,1,4,2013,6,2013
1,Port Byron,61275,412500,412500,0,0.00000,111,3726,5,4,2008,3726,3,1,7/8/13,7/8/13,0,0,1,7,2013,7,2013
24,Port Byron,61275,399900,397900,2000,0.00500,159,2501,4,4,2004,4086,3,1,1/24/14,5/22/14,118,0,1,1,2014,5,2014
24,Port Byron,61275,435000,410000,25000,0.05747,106,3882,4,3,2008,3882,2,1,6/27/14,9/29/14,94,0,1,6,2014,9,2014
24,Port Byron,61275,590000,565000,25000,0.04237,171,3300,4,5,2009,5500,3,2,12/10/14,12/30/14,20,0,1,12,2014,12,2014
17,Port Byron,61275,409000,395000,14000,0.03423,196,2018,4,3,2007,3153,2,1,4/27/15,6/15/15,49,0,1,4,2015,6,2015
24,Cordova,61242,650000,635000,15000,0.02308,293,2166,3,3,2012,3166,2,1,4/16/15,6/26/15,71,1,0,4,2015,6,2015
24,Port Byron,61275,389900,369000,20900,0.05360,142,2600,3,4,1999,3765,3,1,5/4/15,7/30/15,87,0,1,5,2015,7,2015
24,Port Byron,61275,409900,390000,19900,0.04855,153,2548,3,5,1967,3351,4,1,7/8/15,9/18/15,72,0,1,7,2015,9,2015
24,Port Byron,61275,729000,700000,29000,0.03978,183,3824,5,5,1999,5656,5,0,7/16/15,10/8/15,84,0,1,7,2015,10,2015
2,Cordova,61242,500000,500000,0,0.00000,154,3248,4,4,2002,4109,4,0,10/23/15,10/23/15,0,1,0,10,2015,10,2015
24,Port Byron,61275,379000,375000,4000,0.01055,160,2337,4,3,2006,4297,3,0,11/13/15,1/26/16,74,0,1,11,2015,1,2016
24,Cordova,61242,545000,500000,45000,0.08257,121,4135,3,3,1968,4135,3,0,7/29/15,2/19/16,205,1,0,7,2015,2,2016
24,Port Byron,61275,414900,400000,14900,0.03591,141,2845,3,3,2003,2845,2,1,11/30/15,3/23/16,114,0,1,11,2015,3,2016
24,Port Byron,61275,740000,660000,80000,0.10811,155,4264,6,6,2010,6154,4,2,4/22/15,3/28/16,341,0,1,4,2015,3,2016
24,Port Byron,61275,450000,450000,0,0.00000,196,2292,4,4,2001,3552,3,1,5/12/16,8/3/16,83,0,1,5,2016,8,2016
24,Port Byron,61275,397000,380000,17000,0.04282,179,2120,4,4,2002,3005,3,1,6/11/16,8/11/16,61,0,1,6,2016,8,2016
24,Port Byron,61275,597000,535000,62000,0.10385,212,2521,5,4,1999,4180,3,1,7/19/16,12/1/16,135,0,1,7,2016,12,2016
24,Port Byron,61275,449900,425000,24900,0.05535,175,2424,4,5,1996,4024,4,1,9/16/16,12/15/16,90,0,1,9,2016,12,2016
24,Port Byron,61275,369999,358000,11999,0.03243,118,3025,4,4,2007,3025,3,1,7/11/16,1/13/17,186,0,1,7,2016,1,2017
24,Port Byron,61275,397500,390000,7500,0.01887,162,2404,4,3,2007,4090,3,0,8/9/16,1/31/17,175,0,1,8,2016,1,2017
24,Cordova,61242,534900,500000,34900,0.06525,133,3756,4,4,2000,3756,3,1,3/16/17,4/28/17,43,1,0,3,2017,4,2017
23,Port Byron,61275,375000,360000,15000,0.04000,127,2832,5,5,1995,3910,4,1,7/3/17,9/29/17,88,0,1,7,2017,9,2017
4,Port Byron,61275,450000,620406,-170406,-0.37868,351,1767,4,3,2017,3051,3,0,8/3/17,11/3/17,92,0,1,8,2017,11,2017
24,Port Byron,61275,365000,352000,13000,0.03562,203,1736,4,2,1960,2912,2,0,10/6/17,12/29/17,84,0,1,10,2017,12,2017
24,Port Byron,61275,399900,390500,9400,0.02351,146,2677,5,3,2006,4205,3,0,2/23/18,4/19/18,55,0,1,2,2018,4,2018
25,Cordova,61242,379900,367500,12400,0.03264,153,2406,4,4,1997,4348,4,0,4/18/18,8/31/18,135,1,0,4,2018,8,2018
24,Port Byron,61275,358500,350500,8000,0.02232,153,2286,4,4,2004,3426,3,1,1/31/18,9/7/18,219,0,1,1,2018,9,2018
22,Cordova,61242,610000,575000,35000,0.05738,194,2962,5,4,2004,3186,3,1,5/18/18,10/18/18,153,1,0,5,2018,10,2018
24,Port Byron,61275,549900,500000,49900,0.09074,162,3088,3,4,2007,4863,4,0,11/5/18,3/29/19,144,0,1,11,2018,3,2019
24,Port Byron,61275,469900,469000,900,0.00192,193,2435,4,4,2015,3410,3,1,10/1/18,4/1/19,182,0,1,10,2018,4,2019
19,Port Byron,61275,369900,350000,19900,0.05380,156,2250,3,3,2006,2250,3,0,10/2/18,4/24/19,204,0,1,10,2018,4,2019
17,Port Byron,61275,349900,350000,-100,-0.00029,183,1914,3,3,2007,1914,2,1,4/11/19,5/29/19,48,0,1,4,2019,5,2019
24,Cordova,61242,624000,585000,39000,0.06250,129,4540,3,4,1992,4540,4,0,5/22/19,6/27/19,36,1,0,5,2019,6,2019
24,Port Byron,61275,399900,385000,14900,0.03726,146,2639,4,4,2005,2639,3,1,1/17/19,7/8/19,172,0,1,1,2019,7,2019
24,Port Byron,61275,419900,419900,0,0.00000,119,3532,6,5,1995,5069,4,1,3/5/19,9/9/19,188,0,1,3,2019,9,2019
31,Port Byron,61275,515000,497000,18000,0.03495,124,3994,4,4,2019,3994,3,1,11/8/19,2/20/20,104,0,1,11,2019,2,2020
35,Port Byron,61275,399500,383500,16000,0.04005,149,2571,4,5,1996,4171,4,1,11/15/19,3/30/20,136,0,1,11,2019,3,2020
38,Port Byron,61275,400000,375000,25000,0.06250,200,1876,4,3,2008,3376,3,0,3/11/20,6/15/20,96,0,1,3,2020,6,2020
38,Port Byron,61275,459900,450000,9900,0.02153,225,1997,4,4,2012,3647,3,1,3/7/20,7/31/20,146,0,1,3,2020,7,2020
36,Port Byron,61275,625000,612500,12500,0.02000,194,3150,4,4,2003,5650,3,1,5/7/20,7/31/20,85,0,1,5,2020,7,2020
35,Port Byron,61275,400000,390000,10000,0.02500,160,2434,4,4,1991,4182,3,1,7/1/20,8/31/20,61,0,1,7,2020,8,2020
40,Cordova,61242,474900,465000,9900,0.02085,143,3250,4,4,1993,3250,3,1,3/6/20,9/14/20,192,1,0,3,2020,9,2020
37,Port Byron,61275,599000,555000,44000,0.07346,145,3824,5,5,1999,5656,5,0,1/18/20,9/15/20,241,0,1,1,2020,9,2020
37,Port Byron,61275,619000,600000,19000,0.03069,171,3516,6,5,1995,5516,4,1,5/13/20,10/1/20,141,0,1,5,2020,10,2020
32,Cordova,61242,549000,523000,26000,0.04736,147,3549,5,5,2001,4689,4,1,5/1/20,11/6/20,189,1,0,5,2020,11,2020
40,Cordova,61242,439900,432500,7400,0.01682,149,2899,4,3,1995,2899,3,0,6/1/20,11/13/20,165,1,0,6,2020,11,2020
43,Port Byron,61275,370000,355000,15000,0.04054,148,2400,3,4,2004,2400,3,1,2/1/21,3/10/21,37,0,1,2,2021,3,2021
31,Port Byron,61275,379900,375000,4900,0.01290,108,3458,5,4,1998,5089,3,1,3/31/21,5/5/21,35,0,1,3,2021,5,2021
46,Port Byron,61275,445000,450000,-5000,-0.01124,193,2337,4,4,2006,4297,3,1,4/29/21,6/9/21,41,0,1,4,2021,6,2021
30,Port Byron,61275,575000,558000,17000,0.02957,280,1992,3,3,2018,3033,2,1,4/5/21,6/18/21,74,0,1,4,2021,6,2021
34,Port Byron,61275,369900,385000,-15100,-0.04082,172,2236,4,5,1979,2976,3,2,5/7/21,6/21/21,45,0,1,5,2021,6,2021
29,Cordova,61242,362500,372500,-10000,-0.02759,233,1600,3,2,1960,2035,2,0,5/3/21,6/21/21,49,1,0,5,2021,6,2021
39,Port Byron,61275,374000,380000,-6000,-0.01604,164,2320,4,4,2005,3170,3,1,5/13/21,6/23/21,41,0,1,5,2021,6,2021
49,Port Byron,61275,375000,400000,-25000,-0.06667,129,3110,4,4,1994,4585,4,0,5/21/21,6/28/21,38,0,1,5,2021,6,2021
29,Port Byron,61275,309900,352000,-42100,-0.13585,152,2319,4,4,1993,2925,4,0,4/30/21,6/30/21,61,0,1,4,2021,6,2021
24,Port Byron,61275,380000,370000,10000,0.02632,140,2636,4,4,1994,3866,3,1,5/24/21,7/13/21,50,0,1,5,2021,7,2021
1,Port Byron,61275,700000,700000,0,0.00000,245,2856,4,6,2018,5328,5,1,4/16/21,7/15/21,90,0,1,4,2021,7,2021
36,Port Byron,61275,449000,425000,24000,0.05345,136,3124,3,4,1979,3124,3,1,5/13/21,8/20/21,99,0,1,5,2021,8,2021
31,Port Byron,61275,365000,360000,5000,0.01370,164,2189,4,3,1993,3889,3,0,7/19/21,8/27/21,39,0,1,7,2021,8,2021
32,Port Byron,61275,445000,425000,20000,0.04494,149,2845,3,3,2003,2845,2,1,7/8/21,8/30/21,53,0,1,7,2021,8,2021
25,Port Byron,61275,370000,372000,-2000,-0.00541,199,1865,4,3,2009,2665,3,0,7/27/21,8/31/21,35,0,1,7,2021,8,2021
31,Port Byron,61275,465000,465000,0,0.00000,165,2818,5,5,2004,3818,3,2,8/31/21,10/15/21,45,0,1,8,2021,10,2021
32,Port Byron,61275,560000,555000,5000,0.00893,234,2373,3,3,2002,3973,2,1,12/1/21,1/18/22,48,0,1,12,2021,1,2022
38,Port Byron,61275,379900,363000,16900,0.04449,257,1415,4,3,1971,2668,3,0,10/12/21,1/21/22,101,0,1,10,2021,1,2022
31,Cordova,61242,489900,475000,14900,0.03041,69,6888,5,4,1998,6888,4,0,2/11/22,5/31/22,109,1,0,2,2022,5,2022
49,Port Byron,61275,409900,414000,-4100,-0.01000,176,2352,5,4,2007,3252,3,1,4/1/22,5/31/22,60,0,1,4,2022,5,2022
1,Port Byron,61275,412000,412000,0,0.00000,229,1801,3,4,1993,2301,3,1,3/15/22,6/1/22,78,0,1,3,2022,6,2022
20,Port Byron,61275,400000,402000,-2000,-0.00500,149,2690,4,3,1990,3845,2,1,5/11/22,6/16/22,36,0,1,5,2022,6,2022
29,Port Byron,61275,495000,450000,45000,0.09091,184,2452,4,4,1991,4200,3,1,5/26/22,7/5/22,40,0,1,5,2022,7,2022
30,Port Byron,61275,445000,455000,-10000,-0.02247,242,1882,5,4,1994,3082,3,1,7/6/22,8/5/22,30,0,1,7,2022,8,2022
31,Port Byron,61275,385000,378000,7000,0.01818,158,2400,5,4,1995,3200,3,1,8/19/22,11/4/22,77,0,1,8,2022,11,2022
34,Port Byron,61275,385000,380000,5000,0.01299,190,1995,4,3,2007,3492,3,0,10/21/22,2/9/23,111,0,1,10,2022,2,2023
24,Port Byron,61275,374900,360000,14900,0.03974,189,1905,3,3,2007,2671,2,1,11/2/22,2/16/23,106,0,1,11,2022,2,2023
40,Port Byron,61275,379000,370000,9000,0.02375,154,2400,5,6,1986,4500,3,3,2/9/23,4/7/23,57,0,1,2,2023,4,2023
39,Port Byron,61275,364900,364900,0,0.00000,157,2324,4,3,1993,2934,2,1,3/8/23,4/10/23,33,0,1,3,2023,4,2023
51,Port Byron,61275,449900,425000,24900,0.05535,148,2864,6,4,1997,4230,3,1,11/15/22,4/28/23,164,0,1,11,2022,4,2023
31,Port Byron,61275,400000,400000,0,0.00000,223,1792,4,3,2004,3192,3,0,3/13/23,6/16/23,95,0,1,3,2023,6,2023
53,Port Byron,61275,350000,356000,-6000,-0.01714,194,1836,4,2,1976,2636,2,0,5/23/23,6/28/23,36,0,1,5,2023,6,2023
30,Cordova,61242,570000,560000,10000,0.01754,647,865,2,1,2013,865,1,0,5/4/23,6/29/23,56,1,0,5,2023,6,2023
40,Port Byron,61275,550000,540000,10000,0.01818,270,1997,4,4,2012,3647,3,1,11/17/22,7/6/23,231,0,1,11,2022,7,2023
33,Port Byron,61275,375000,380000,-5000,-0.01333,234,1625,3,3,2012,1625,3,0,6/1/23,7/14/23,43,0,1,6,2023,7,2023
61,Port Byron,61275,700000,715000,-15000,-0.02143,405,1767,4,4,2017,3260,3,1,5/18/23,7/24/23,67,0,1,5,2023,7,2023
21,Port Byron,61275,375000,375500,-500,-0.00133,175,2146,3,3,2006,2146,2,1,7/26/23,9/8/23,44,0,1,7,2023,9,2023
41,Port Byron,61275,599000,585000,14000,0.02337,294,1992,4,3,2018,3352,2,1,6/30/23,9/15/23,77,0,1,6,2023,9,2023
54,Port Byron,61275,389900,385000,4900,0.01257,165,2336,3,3,1979,2336,2,1,7/21/23,9/15/23,56,0,1,7,2023,9,2023
25,Port Byron,61275,629000,622500,6500,0.01033,293,2126,3,2,2020,2126,2,0,8/9/23,10/2/23,54,0,1,8,2023,10,2023
54,Port Byron,61275-9591,408900,405000,3900,0.00954,243,1667,3,3,1980,2779,2,1,8/10/23,10/6/23,57,0,1,8,2023,10,2023
39,Port Byron,61275,360000,360000,0,0.00000,164,2200,5,3,1972,3300,3,0,9/19/23,10/20/23,31,0,1,9,2023,10,2023